added at,release date,name,album,artist(s),id
2021-10-29T20:30:38+00:00,2019-09-20,I Just Wanna Shine,All the Feels,Fitz and The Tantrums,spotify:track:4GZ3YCkuH0VvTluVLwUp4g
2021-10-29T20:28:54+00:00,2019-09-20,All the Feels,All the Feels,Fitz and The Tantrums,spotify:track:3scYtw10wODPatwKBGTwB6
2021-10-29T20:27:57+00:00,2019-09-20,123456,All the Feels,Fitz and The Tantrums,spotify:track:5O3nMjk8xL7n4TIh0tym4i
2021-10-29T20:27:10+00:00,2017-07-24,Fool,Fitz and The Tantrums (Deluxe Edition),Fitz and The Tantrums,spotify:track:7rt7ywY9yekwaYXk2Zt4Q5
2021-10-29T20:23:43+00:00,2012-06-12,"My Leather, My Fur, My Nails",Wildlife Pop (Deluxe Edition),Stepdad,spotify:track:6bTbkW8kwKiWGH8F4WsNFb
2021-10-29T20:23:02+00:00,2011-06-09,Parrot,Ordinaire EP,Stepdad,spotify:track:1v6kip5eL25pCSGWpwSfeG
2021-10-29T10:34:48+00:00,2013,20 Years,Transpose EP,Bad Suns,spotify:track:3EQBVWHnCv19VW8JSxiNzi
2021-10-29T10:31:14+00:00,2019-01-18,Mercy Down,Hope and a Hand Grenade,Shayfer James,spotify:track:5XfFmFFER8WH6izUTBHQWd
2021-10-29T10:24:46+00:00,2017-12-08,h d w g h ?,Vol. II,Stop Light Observations,spotify:track:2S06d3CoWe0ST1A3Uw3yCE
2021-10-24T22:15:26+00:00,2014-04-23,It's Gonna Be Alright,It's Gonna Be Alright,Bill Wurtz+N/A,spotify:track:4Ep2HJ1nWvt7SXQLEdgtJj
2021-10-18T22:45:07+00:00,2021-10-06,Teardrop,Teardrop,ibi,spotify:track:5aJhmiZbnm1Uytahpqhr5K
2021-10-10T22:13:15+00:00,2016-06-03,Misfit,Misfit,High Dive Heart,spotify:track:2WRNPWniqC7AgNHefvwW4n
2021-10-02T21:32:52+00:00,2008-09-03,Kärlekens Alla Färjor,Wermland,Detektivbyrån,spotify:track:4hteLW5cO9L8B2k3ZfyqgK
2021-10-02T21:28:26+00:00,2008-09-03,Life_Universe,Wermland,Detektivbyrån,spotify:track:4nwJtkkeZOVkp3wDTRAP1q
2021-09-30T20:55:12+00:00,2007-01-01,"""E18""",E18,Detektivbyrån,spotify:track:5MWTIbCYIEZp20Ex8xfNYK
2021-09-30T16:41:54+00:00,2008-09-03,Om Du Möter Varg,Wermland,Detektivbyrån,spotify:track:33qOGk5Px3DOGodBT5sCKD
2021-09-30T16:21:26+00:00,2007-01-01,"""Nattoppet""",E18,Detektivbyrån,spotify:track:1rH72YcWHiBndW2cDMMtWg
